['2017, Hyundai Santa Fe Sport 2.0T Ultimate AWD, $21,295, 39,953 miles, Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start', 'No', 'Automatic', 'Platinum Graphite']
['2017, Chevrolet Equinox LT FWD, $15,995, 22,562 miles, Navigation System, Alloy Wheels, Bluetooth, Backup Camera', 'Yes', '6-Speed Automatic Overdrive', 'Wh']
['2019, Chevrolet Impala LT FWD, $16,995, 37,578 miles, Alloy Wheels, Bluetooth, Backup Camera, Remote Start', 'Yes', '6-Speed Automatic Overdrive', 'Black']
['2018, Nissan Rogue SV AWD, $18,828, 14,476 miles, Alloy Wheels, Bluetooth, Backup Camera, Remote Start', 'Yes', 'Continuously Variable Transmission', 'Caspian Blue']
['2016, BMW X1 xDrive28i AWD, $18,976, 31,836 miles, Alloy Wheels, Bluetooth', 'No', 'Automatic', 'Blue']
['2016, Chevrolet Malibu 1LT FWD, $12,495, 42,932 miles, Navigation System, Alloy Wheels, Technology Package, Bluetooth, Backup Camera', 'Yes', '6-Speed Automatic', 'Wh']
['2017, BMW X5 xDrive35i AWD, $28,768, 53,624 miles, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth', 'No', 'Automatic', 'Silver']
['2019, Cadillac Escalade ESV Luxury 4WD, $57,888, 15,088 miles, Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start', 'No', 'Crystal White Tricoat']
['2017, Nissan Rogue SL AWD, $19,994, 22,369 miles, Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Premium Package', 'Yes', 'Continuously Variable Transmission', 'Palatial Ruby']
['2019, INFINITI QX50 Pure AWD, $26,300, 13,018 miles, Alloy Wheels, Bluetooth, Backup Camera', 'No', 'Continuously Variable Transmission', 'Hermosa Blue']
['2017, GMC Acadia SLE-2 FWD, $19,749, 40,709 miles, Navigation System, Alloy Wheels, Audio Package, Bluetooth, Backup Camera, Remote Start', 'Yes', '6-Speed Automatic', 'Summit White']
['2020, Subaru Legacy 2.5i Premium AWD, $22,980, 2,511 miles, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Remote Start', 'Yes', 'Continuously Variable Transmission', 'Gray Metallic']
