['2019, Nissan Sentra SR FWD, $14,490, 30,197 miles, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera', 'Yes', 'Continuously Variable Transmission', 'Super Black']
['2017, GMC Terrain SLT1 AWD, $20,497, 32,393 miles, Leather Seats, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start', 'Yes', '6-Speed Automatic', 'Quicksilver Metallic']
['2018, Ford Fusion SE AWD, $13,904, 79,608 miles, Leather Seats, Navigation System, Alloy Wheels, Appearance Package, Bluetooth, Premium Wheels, Backup Camera, Premium Package', 'No', 'Automatic', 'Magnetic']
['2018, Nissan LEAF SV, $19,193, 12,556 miles, Navigation System, Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Remote Start', 'Yes', 'Automatic', 'Pearl White']
['2016, Ford Transit Passenger 350 XLT Medium Roof LWB RWD, Sliding Passenger-Side Door, $25,290, 29,136 miles, Steel Wheels, Bluetooth, Backup Camera, Sport Chrono Package, Premium Package, Upgrade Package', 'No', '6-Speed Automatic Overdrive', 'Oxford White']
['2020, BMW X3 M40i AWD, $52,156, 6,443 miles, Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera', 'No', 'Automatic', 'Alpine White']
['2019, Dodge Durango R/T AWD, $32,900, 25,271 miles, Leather Seats, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Quick Order Package', 'No', '8-Speed Automatic', 'Billet Clearcoat']
['2017, Nissan Rogue Sport SV AWD, $17,498, 31,258 miles, Alloy Wheels, Bluetooth, Backup Camera', 'No', 'Continuously Variable Transmission', 'Pearl White']
['2018, Ford Transit Passenger 150 XL Medium Roof RWD, Sliding Passenger-Side Door, $28,990, 12,062 miles, Steel Wheels, Backup Camera, Upgrade Package', 'No', '6-Speed Automatic Overdrive', 'Oxford White']
['2015, Chevrolet Equinox LS FWD, $11,999, 44,859 miles, Navigation System, Alloy Wheels, Bluetooth', 'No', 'Automatic', 'Black']
['2017, Volkswagen Jetta 1.4T SE FWD, $14,295, 13,889 miles, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera', 'Yes', '6-Speed Automatic', 'Cardinal Red Metallic']
['2019, Ford Explorer Limited AWD, $28,800, 35,895 miles, Navigation System, Backup Camera', 'No', '6-Speed Automatic', 'Magnetic Metallic']
['2019, Nissan Rogue SV AWD, $20,995, 10,697 miles, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Premium Package', 'No', 'Continuously Variable Transmission', 'Gun Metallic']
['2018, Dodge Durango SXT AWD, $25,395, 22,486 miles, Alloy Wheels, Bluetooth, Backup Camera, Quick Order Package', 'No', '8-Speed Automatic', 'Db Black Clearcoat']
['2017, Lincoln MKC Reserve FWD, $20,904, 31,742 miles, Leather Seats, Navigation System, Bluetooth, Premium Wheels, Backup Camera, Remote Start', 'No', 'Automatic', 'Black Velvet']
['2020, Chevrolet Equinox 1.5T LS FWD, $19,900, 2,191 miles, Alloy Wheels, Bluetooth, Backup Camera', 'Yes', '6-Speed Automatic Overdrive', 'White']
['2018, Chevrolet Equinox 1.5T LT FWD, $17,792, 19,101 miles, Alloy Wheels, Bluetooth, Backup Camera', 'No', '6-Speed Automatic Overdrive', 'Storm Blue Metallic']
['2020, BMW X5 xDrive40i AWD, $55,956, 7,095 miles, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start, Convenience Package', 'No', 'Automatic', 'Jet Black']
['2019, Nissan Murano Platinum AWD, $32,293, 6,882 miles, Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Remote Start', 'Yes', 'Continuously Variable Transmission', 'Brilliant Silver Metallic']
